ID,label,sex,age,edu_lv,credit_rec,inc,loan_suc,repay_suc,repay_time,dlqin0,loan_position,remen_mun,max_loan,max_debt
6875,0,1,22,1,2,3,1,7,7,0,7500,3921.15,7500,10198.26
6876,0,0,50,1,2,3,1,4,4,0,4000,3345.52,4000,5439.9
6877,0,1,39,1,2,3,14,90,90,0,46114,15967.27,4766,19426.54
6878,0,0,23,2,2,2,6,32,32,0,12085,7626.67,5500,10912.78
6879,0,1,40,1,2,3,1,3,3,0,2800,0,2800,3266.88
6880,0,1,26,2,0,2,15,80,80,0,12016,0,3937,8193.91
6881,0,0,47,1,2,4,4,15,7,8,10364,0,3500,6152.63
6882,0,0,27,1,2,3,11,56,56,0,41827,8188.31,8835,15499.07
6883,0,1,30,1,2,4,17,100,93,6,87370,13382.8,16000,32451.65
6884,1,1,35,1,2,3,3,25,8,9,13018,0,4900,7244.21
6885,0,1,24,1,2,3,7,24,22,2,7196,1323.75,2000,2902.24
6886,0,1,21,1,2,2,1,4,4,0,1000,393.28,1000,1179.84
6887,0,1,24,1,2,3,1,7,7,0,1000,554,1000,1359.6
6888,0,1,22,1,2,3,1,3,3,0,2600,0,2600,3033.54
6889,0,1,25,3,2,2,9,45,45,0,34560,10029.1,10270,13309.26
6890,0,0,23,1,2,3,6,25,22,3,11960,4220.18,5000,5852.88
6891,0,0,19,1,2,3,1,2,2,0,3800,2989.28,3800,4483.92
6892,0,1,29,1,0,2,1,2,2,0,1000,0,1000,1211.73
6893,0,1,34,1,2,3,1,12,12,0,1000,0,1000,1171.5
6894,0,1,25,2,2,3,13,42,22,20,22800,0,5000,12348.48
6895,0,1,21,1,2,2,1,2,2,0,4000,4514.5,4000,5417.4
6896,0,0,19,1,2,2,2,7,3,4,4000,1322.1,2000,2564.92
6897,0,1,30,1,2,3,8,41,34,4,20348,3481.57,3200,7926.29
6898,0,1,23,1,2,3,5,38,3,35,10491,2138.48,3419,5607.85
6899,0,1,40,1,2,2,9,45,28,17,17782,0,3919,11893.93
6900,0,1,28,1,2,3,1,6,2,4,700,0,700,927.9
6901,0,1,31,1,2,2,8,58,50,8,30537,6512.77,7920,15366.13
6902,0,1,29,1,2,4,1,3,3,0,1200,707.97,1200,1415.94
6903,0,0,48,1,2,4,14,90,89,1,60930,8503.83,11387,19494.75
6904,0,0,23,1,2,3,1,3,3,0,500,0,500,560.85
6905,0,1,33,1,2,5,6,30,24,6,21988,8483.31,12000,14346.96
6906,0,1,33,2,2,4,40,182,181,1,73254,6255.38,7716,14061.99
6907,0,1,28,1,2,3,0,0,0,0,0,0,0,0
6908,0,1,36,1,2,4,5,24,22,2,15834,3997.76,6100,6907.2
6909,0,0,27,1,2,3,1,2,2,0,3000,3399.9,3000,4079.88
6910,0,1,33,2,2,3,0,0,0,0,0,0,0,0
6911,0,0,27,2,2,2,13,74,70,4,41857,1617.61,10000,11520.5
6912,0,1,28,1,2,3,2,12,12,0,2000,0,2000,2493.26
6913,0,1,43,1,2,3,6,51,33,17,21545,1785.8,6394,7904.04
6914,0,1,19,1,2,3,6,29,27,2,6244,93.2,1570,1846.92
6915,0,0,32,1,2,4,3,10,9,1,5200,0,3500,4068.12
6916,0,1,20,1,2,3,1,4,4,0,1500,0,1500,1769.88
6917,1,1,32,1,2,3,4,26,18,6,4921,653.41,2800,2813.85
6918,0,1,24,1,2,3,5,41,27,13,14124,0,4000,4492.44
6919,0,0,24,2,2,3,24,168,151,17,52769,7654.88,9623,17424.01
6920,0,0,36,1,2,3,0,0,0,0,0,0,0,0
6921,0,1,30,2,2,2,1,4,3,1,6000,5018.32,6000,8159.88
6922,0,1,23,1,2,4,1,6,6,0,1000,664.8,1000,1359.6
6923,0,1,32,1,2,2,1,6,6,0,5800,0,5800,6509.46
6924,0,1,28,1,2,3,11,39,30,2,14541,0,2000,6990.45
6925,0,1,30,3,2,5,1,5,5,0,13000,9104.34,13000,16647.42
6926,0,1,27,1,2,3,3,15,11,4,3891,0,2151,2774.96
6927,0,0,44,1,2,3,1,3,2,1,1000,0,1000,1223.59
6928,0,0,32,1,2,5,7,38,26,12,18463,2215.85,4500,7956.67
6929,0,1,24,1,0,3,8,45,45,0,41029,2868.99,10500,12349.92
6930,0,0,24,1,2,3,0,0,0,0,0,0,0,0
6931,0,0,35,1,2,3,13,79,77,2,17892,0,3385,11098.15
6932,0,1,31,3,2,4,1,4,4,0,13500,11075.2,13500,16612.8
6933,0,1,27,1,2,3,7,13,11,2,9500,0,2200,4067.83
6934,0,1,28,2,2,4,2,10,10,0,27900,0,14100,16579.68
6935,0,0,29,1,2,3,11,25,25,0,7350,0,3646,6660.09
6936,0,1,28,1,2,4,1,2,2,0,2850,2241.96,2850,3362.94
6937,0,1,28,1,2,4,0,0,0,0,0,0,0,0
6938,0,1,21,1,2,5,1,2,2,0,2850,2241.96,2850,3362.94
6939,0,1,50,1,2,5,2,18,17,1,15833,0,8000,11153.85
6940,0,1,25,1,2,2,3,11,11,0,16500,3075.45,5500,7478.34
6941,0,0,31,1,2,3,1,6,6,0,2000,1329.72,2000,2719.44
6942,0,1,20,1,2,3,1,1,1,0,500,0,500,581.66
6943,0,0,25,2,2,3,11,85,85,0,31765,10620.8,10000,18737.54
6944,0,1,19,1,2,2,0,0,0,0,0,0,0,0
6945,0,1,22,1,2,3,6,32,24,8,5260,1088.31,1660,3885.48
6946,0,1,26,1,2,3,1,2,2,0,1000,786.6,1000,1179.9
6947,0,1,26,1,2,3,1,1,1,0,1000,0,1000,1163.33
6948,0,1,23,2,2,2,1,5,2,3,5000,3805.55,5000,6798.8
6949,0,1,33,1,0,3,1,5,5,0,1500,1141.63,1500,2039.58
6950,0,1,18,1,2,3,0,0,0,0,0,0,0,0
6951,0,1,33,1,2,3,2,10,8,2,3645,1987.38,2000,3646.92
6952,0,1,32,1,2,3,2,4,4,0,2000,0,1000,1163.33
6953,0,1,23,1,2,2,3,37,7,29,6519,0,3000,6778.13
6954,0,0,19,1,2,2,0,0,0,0,0,0,0,0
6955,0,1,29,1,2,3,1,2,2,0,7600,5940.24,7600,8910.36
6956,0,1,35,1,2,3,1,5,4,1,1800,1369.97,1800,2472.72
6957,0,1,42,1,2,4,14,72,72,0,25497,4268.52,3016,9306.81
6958,0,1,21,1,2,2,1,2,1,1,2250,0,2250,2659.84
6959,0,1,39,2,2,3,4,14,8,6,4950,0,3000,3434.5
6960,0,1,45,1,2,4,9,48,33,15,36930,0,8200,17815.57
6961,0,1,23,2,2,2,4,23,23,0,11531.76,0,8000,9409.44
6962,0,1,29,1,2,2,6,25,20,2,5955,0,1400,2551.7
6963,0,1,20,1,2,2,0,0,0,0,0,0,0,0
6964,0,0,28,1,2,2,5,19,16,3,8336,1578.72,3000,4657.71
6965,0,1,18,1,2,2,1,1,1,0,750,0,750,884.88
6966,0,1,26,3,2,2,1,6,1,5,1250,815.4,1250,1724.76
6967,0,0,37,1,2,3,8,41,39,2,9868,5568.59,3000,8024.17
6968,0,1,32,2,2,3,17,85,85,0,62717,6095.37,22300,32296.06
6969,0,0,43,1,2,4,17,105,105,0,83350,14819.88,13400,26814.81
6970,0,1,23,1,2,4,3,17,17,0,5386,943.88,1800,3692.01
6971,0,0,26,3,2,3,13,125,100,25,54473,12592.56,10000,19604.02
6972,0,1,18,1,2,3,0,0,0,0,0,0,0,0
6973,0,0,29,1,2,4,0,0,0,0,0,0,0,0
6974,0,1,22,1,2,3,1,3,0,3,600,0,600,698.8
6975,0,1,33,1,2,4,1,6,5,1,14000,0,14000,15992.64
6976,0,1,41,1,2,4,22,122,122,0,67478,9493.06,6000,17359.52
6977,0,1,37,1,2,2,1,1,1,0,700,0,700,814.33
6978,0,1,27,2,1,2,1,7,7,0,1000,553.75,1000,1359.9
6979,0,1,31,1,2,3,0,0,0,0,0,0,0,0
6980,0,0,26,1,0,3,10,106,105,1,52858,5840.92,31855,43954.26
6981,0,0,24,1,2,2,3,23,23,0,12908,0,5232,10439.12
6982,0,1,24,1,1,5,7,53,53,0,12934,0,3200,3914.54
6983,0,1,39,1,2,3,1,3,3,0,3000,1769.91,3000,3539.82
6984,0,1,20,1,2,4,7,38,34,4,14567,4561.64,4983,8203.37
6985,0,1,29,1,2,2,1,1,1,0,500,0,500,614.16
6986,0,1,25,1,2,4,3,24,24,0,2900,0,1100,1200.96
6987,0,0,18,1,2,2,1,5,5,0,500,98.31,500,589.86
6988,0,1,23,1,2,3,1,4,3,1,2100,1830.18,2100,2855.94
6989,0,1,27,1,2,3,7,32,28,4,10867,1816.94,3500,4694.92
6990,1,1,27,1,2,3,1,12,4,6,3000,0,3000,3588.48
6991,0,1,24,1,2,2,0,0,0,0,0,0,0,0
6992,0,1,24,2,2,2,3,21,8,13,7902,2617.86,3300,4315.62
6993,0,0,23,1,2,2,2,8,5,3,10400,7951.31,9000,12238.08
6994,0,0,21,1,2,2,10,50,42,8,14271,4810.3,5000,8607.4
6995,0,1,22,1,2,3,1,2,2,0,3800,2989.32,3800,4483.98
6996,0,0,23,1,2,2,1,5,3,2,8000,5729.57,8000,9857.98
6997,0,0,30,1,2,2,5,37,35,2,6100,2006.44,2000,3793.59
6998,0,1,23,1,2,4,3,8,5,3,12786,9708.55,11079,14591.61
6999,0,1,40,1,2,3,2,9,8,1,4818,3354.62,2818,5709.26
7000,0,1,35,3,2,3,10,13,9,1,23468,0,10500,11449.08
7001,0,1,39,1,2,3,9,61,59,2,28125,6855.66,6890,8965.98
7002,0,0,20,1,2,4,3,16,13,3,5259,2769.46,3000,4556.95
7003,0,0,29,2,2,4,11,60,60,0,56955,11306.54,11455,27471.59
7004,0,0,24,3,0,4,2,10,9,1,20875,14397.16,12000,14397.16
7005,0,0,19,1,2,3,2,14,10,2,1200,0,700,888.3
7006,0,1,29,1,2,5,1,0,0,0,7700,8392.56,7700,8392.56
7007,0,0,21,1,2,2,5,32,19,11,5966,756.57,2566,5142.12
7008,0,1,25,1,2,1,8,61,56,5,9576,1576.15,3000,3388.44
7009,0,1,20,1,2,2,1,3,3,0,1250,737.46,1250,1474.92
7010,0,0,37,1,2,3,1,3,3,0,6000,3539.79,6000,7079.58
7011,0,1,26,1,2,5,19,75,74,1,34947,2841.54,3882,9142.61
7012,0,1,26,1,2,3,2,21,21,0,4999,2144.46,2700,3559.04
7013,0,0,36,1,2,4,3,15,10,5,4467,1356.63,2467,3416.32
7014,0,1,28,1,2,4,2,7,7,0,9500,0,8000,8894.94
7015,0,1,33,1,2,3,4,31,17,14,11642,1952.3,4100,5308.89
7016,0,1,29,1,2,4,1,12,12,0,22800,0,22800,27615
7017,0,0,41,1,2,3,3,19,19,0,13925,0,5900,7985.91
7018,0,1,30,1,2,4,1,6,3,3,4000,0,4000,4571.58
7019,0,1,27,1,2,3,2,10,10,0,2000,0,1000,1269.81
7020,0,1,25,1,2,2,1,6,6,0,2000,0,2000,2364.66
7021,0,1,23,1,2,4,0,0,0,0,0,0,0,0
7022,0,1,37,1,2,3,3,15,15,0,4278,0,2750,2879.34
7023,0,1,28,1,2,4,4,21,19,2,11212,0,5500,6172.8
7024,0,1,20,1,2,3,0,0,0,0,0,0,0,0
7025,0,1,29,1,2,4,1,2,2,0,2850,2241.96,2850,3362.94
7026,0,1,30,3,2,5,8,48,44,4,21472,4136.33,7200,8541.91
7027,0,0,34,1,2,2,8,50,45,5,7434,1930.1,1700,4529.76
7028,0,1,20,1,2,3,4,16,13,3,3941,2588.06,1500,3597.86
7029,0,0,30,2,2,2,1,6,4,2,5000,0,5000,5386.68
7030,0,1,44,1,2,4,16,113,112,1,53097,16471.94,6727,20385.16
7031,0,0,24,1,2,3,7,39,37,2,13930,0,5000,7750.36
7032,0,1,42,1,2,3,14,100,89,9,33439,0,5000,12026.84
7033,0,1,23,1,0,4,0,0,0,0,0,0,0,0
7034,0,1,32,1,2,2,5,29,28,1,4937,613,1200,1472.04
7035,0,0,24,1,2,3,11,124,100,24,23819,1550.2,5105,10915.86
7036,0,1,21,1,2,2,1,8,8,0,1250,543.6,1250,1699.55
7037,0,0,30,1,2,4,1,6,6,0,13500,0,13500,15320.28
7038,0,0,35,1,2,3,1,8,7,1,1500,639.8,1500,2039.4
7039,0,1,29,1,2,3,1,0,0,0,3400,4011.78,3400,4011.78
7040,0,1,36,1,2,3,3,25,9,15,5516,0,3000,4512.36
7041,0,1,31,1,2,2,1,2,2,0,5500,4326.32,5500,6489.48
7042,0,1,36,1,2,5,2,7,7,0,7600,2379.9,4000,4700.16
7043,0,0,28,1,2,2,2,5,5,0,8998,7775.26,7000,9517.02
7044,0,1,31,2,2,4,11,83,80,3,55646,2764.09,12408,32584.91
7045,0,1,29,1,2,4,0,0,0,0,0,0,0,0
7046,0,0,29,1,2,4,1,5,2,3,7500,5708.36,7500,10198.26
7047,0,1,26,1,2,4,0,0,0,0,0,0,0,0
7048,0,0,38,1,2,3,1,2,2,0,2850,2241.96,2850,3362.94
7049,0,1,25,1,2,4,1,5,1,4,1800,1343.72,1800,2447.52
7050,0,1,24,1,2,2,2,19,19,0,2500,264.24,1500,1877.14
7051,0,1,40,1,2,4,1,4,2,1,8400,4923.81,8400,9896.3
7052,0,1,35,1,2,3,2,10,3,6,6400,1268.37,3200,4061.1
7053,0,1,25,1,2,3,4,18,14,4,2750,0,2750,3855.06
7054,0,1,30,1,1,3,17,64,62,1,20338,0,3000,7423.13
7055,0,1,30,1,2,3,3,8,7,1,7400,0,6000,6601.92
7056,0,1,28,1,2,5,3,11,6,0,4100,0,1850,2005.39
7057,0,1,23,1,2,2,4,18,16,2,5100,1574.63,2000,2458.13
7058,0,1,34,1,2,3,2,15,9,6,4192,380.52,3500,4116.6
7059,0,1,22,1,2,3,6,25,25,0,5705,802.28,1250,2439.97
7060,0,0,25,1,2,3,2,12,11,1,5481,0,3000,4877.46
7061,0,0,26,1,2,4,6,27,26,1,10843,1524.44,3000,3645.33
7062,0,1,26,1,2,2,1,3,2,1,3600,2024.16,3600,4247.76
